duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,Class,
0,tcp,telnet,RSTO,126,179,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,49,49,1,0,0.02,0,0.04,0.04,0.96,0.96,guess_passwd.,2
0,tcp,telnet,RSTO,126,179,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,50,50,1,0,0.02,0,0.04,0.04,0.96,0.96,guess_passwd.,2
0,tcp,ftp_data,SF,613,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,1,84,1,0,1,0.02,0,0,0,0,ftp_write.,2
0,tcp,ftp_data,SF,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,85,1,0,1,0.02,0,0,0,0,ftp_write.,2
32,tcp,ftp,SF,104,449,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,ftp_write.,2
0,tcp,imap4,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,161,1,0.58,0,0.03,1,0,0.28,2,2,1,0,1,0,1,1,0,0,imap.,2
0,tcp,imap4,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,162,0.67,0.58,0,0.03,1,0,0.28,3,3,1,0,1,0,0.67,0.67,0,0,imap.,2
0,tcp,imap4,SF,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,163,0.5,0.58,0,0.03,1,0,0.28,4,4,1,0,1,0,0.5,0.5,0,0,imap.,2
0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,69,1,0.01,1,0.01,0,0,0,0.94,1,ipsweep.,1
0,tcp,smtp,SF,0,91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,6,51,0.17,1,0.17,0.04,0,0,0.83,0,ipsweep.,1
0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,16,2,0.06,1,0.06,1,0,0,0.94,1,ipsweep.,1
0,tcp,csnet_ns,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,4,1,1,0,0,0.02,0.07,0,255,4,0.02,0.07,0,0,1,1,0,0,neptune.,0
0,tcp,csnet_ns,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,9,1,1,0,0,0.04,0.07,0,255,9,0.04,0.07,0,0,1,1,0,0,neptune.,0
0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,14,1,1,0,0,0.07,0.07,0,255,14,0.05,0.07,0,0,1,1,0,0,neptune.,0
0,icmp,ecr_i,SF,1480,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,1,0,0,102,18,0.18,0.04,0.18,0,0,0,0,0,pod.,0
0,icmp,ecr_i,SF,1480,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,1,0,0,103,19,0.18,0.04,0.18,0,0,0,0,0,pod.,0
0,icmp,ecr_i,SF,1480,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,1,0,0,104,20,0.19,0.04,0.19,0,0,0,0,0,pod.,0
1,tcp,private,RSTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,1,1,0.25,0.5,0,178,2,0.01,0.04,0.04,0,0.01,0,0.32,1,portsweep.,1
1,tcp,private,RSTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,1,1,0.11,0.5,0,188,2,0.01,0.06,0.1,0,0.01,0,0.36,1,portsweep.,1
0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,1,1,0.04,0.54,0,198,1,0.01,0.09,0.14,0,0.01,0,0.39,1,portsweep.,1
0,icmp,ecr_i,SF,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,509,0,0,0,0,1,0,0,255,255,1,0,1,0,0,0,0,0,smurf.,0
0,icmp,ecr_i,SF,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0,0,0,0,1,0,0,255,255,1,0,1,0,0,0,0,0,smurf.,0
0,icmp,ecr_i,SF,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0,0,0,0,1,0,0,255,255,1,0,1,0,0,0,0,0,smurf.,0
0,udp,private,SF,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,0,0,0,0,1,0,0,169,97,0.57,0.02,0.57,0,0,0,0,0,teardrop.,0
0,udp,private,SF,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,0,0,0,0,1,0,0,170,98,0.58,0.02,0.58,0,0,0,0,0,teardrop.,0
0,udp,private,SF,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,0,0,0,0,1,0,0,171,99,0.58,0.02,0.58,0,0,0,0,0,teardrop.,0
0,tcp,ftp,SF,36,197,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,255,1,0,0.05,0,0,0.39,0,0.05,0,warezmaster.,2
156,tcp,ftp,SF,950,2551,0,0,0,18,0,1,0,0,0,0,21,0,0,0,0,1,1,1,0,0,0,0,1,0,0,218,1,0,0.03,0,0,0.01,0,0.07,0,warezmaster.,2
0,tcp,ftp_data,SF,0,7181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,warezmaster.,2
0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,26,2,0.08,0.08,0.08,0,0,0,0,0,warezclient.,2
0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,221,82,0.35,0.02,0.35,0.02,0,0,0,0,warezclient.,2
0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,222,83,0.36,0.02,0.36,0.02,0,0,0,0,warezclient.,2
337,tcp,telnet,SF,237,1540,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,255,47,0.18,0.02,0,0,0.22,0.32,0,0,spy.,2
299,tcp,telnet,SF,112,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,48,0.19,0.02,0,0,0.22,0.31,0,0,spy.,2
12,tcp,http,SF,51,8127,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,255,246,0.96,0.01,0,0,0,0,0,0,phf.,2
0,tcp,http,SF,51,8127,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,255,241,0.95,0.01,0,0,0,0,0,0,phf.,2
0,tcp,http,SF,51,8127,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0.5,1,0,1,255,255,1,0,0,0,0,0,0,0,phf.,2
0,icmp,eco_i,SF,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,4,2,0.5,0.75,0.5,0,0,0,0,0,nmap.,1
0,tcp,private,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0.5,1,0,14,1,0.07,0.71,0.5,0,0.5,1,0,0,nmap.,1
0,tcp,private,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,24,1,0.04,0.75,0.67,0,0.67,1,0,0,nmap.,1
